,usuario,comentario,fecha,idpost
0,<Profile fabiola_lanzarini (16879803494)>,"Y recuerden a la vuelta enviar mi tarjeta débito, aun la espero @coopeuch #quilpué",2021-09-19 12:40:48,CT4gB0bjWNm
1,<Profile coopeuch (2255472949)>,"@fabiola_lanzarini Hola, lamentamos lo que nos comentas. Desde ahora puedes comunicarte al 6002001200 opción 6 para agendar el despacho de tu Cuenta Vista.",2021-09-20 20:35:26,CT4gB0bjWNm
